"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2000","European Union - 27 countries (from 2020)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)",":","b"
"2000","European Union - 27 countries (from 2020)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)",":","b"
"2000","European Union - 27 countries (from 2020)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)",":",""
"2000","European Union - 27 countries (from 2020)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","European Union - 27 countries (from 2020)","Proportion of population aged 0-14 years",":","b"
"2000","European Union - 27 countries (from 2020)","Proportion of population aged 15-24 years",":","b"
"2000","European Union - 27 countries (from 2020)","Proportion of population aged 25-44 years",":","b"
"2000","European Union - 27 countries (from 2020)","Proportion of population aged 45-64 years",":","b"
"2000","European Union - 27 countries (from 2020)","Proportion of population aged 65 years and more",":","b"
"2000","European Union - 28 countries (2013-2020)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)",":","b"
"2000","European Union - 28 countries (2013-2020)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)",":","b"
"2000","European Union - 28 countries (2013-2020)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)",":",""
"2000","European Union - 28 countries (2013-2020)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","European Union - 28 countries (2013-2020)","Proportion of population aged 0-14 years",":","b"
"2000","European Union - 28 countries (2013-2020)","Proportion of population aged 15-24 years",":","b"
"2000","European Union - 28 countries (2013-2020)","Proportion of population aged 25-44 years",":","b"
"2000","European Union - 28 countries (2013-2020)","Proportion of population aged 45-64 years",":","b"
"2000","European Union - 28 countries (2013-2020)","Proportion of population aged 65 years and more",":","b"
"2000","European Union - 27 countries (2007-2013)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.9","b"
"2000","European Union - 27 countries (2007-2013)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","80.5","b"
"2000","European Union - 27 countries (2007-2013)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","64.8",""
"2000","European Union - 27 countries (2007-2013)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
