"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008","Belgium","Total","Age reached during the year","Total","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2008","Czechia","Total","Age reached during the year","Total","Number","Total","51 478","b"
"2008","Czechia","Total","Age reached during the year","Less than 15 years","Number","Total","2 931","b"
"2008","Czechia","Total","Age reached during the year","From 15 to 64 years","Number","Total","47 859","b"
"2008","Czechia","Total","Age reached during the year","65 years or over","Number","Total","688","b"
"2008","Denmark","Total","Age reached during the year","Total","Number","Total","38 356","b"
"2008","Denmark","Total","Age reached during the year","Less than 15 years","Number","Total","5 181","b"
"2008","Denmark","Total","Age reached during the year","From 15 to 64 years","Number","Total","32 650","b"
"2008","Denmark","Total","Age reached during the year","65 years or over","Number","Total","525","b"
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","737 889",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 15 years","Number","Total","59 660",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 64 years","Number","Total","647 207",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","65 years or over","Number","Total","31 022",""
"2008","Estonia","Total","Age reached during the year","Total","Number","Total","4 406",""
"2008","Estonia","Total","Age reached during the year","Less than 15 years","Number","Total","593",""
"2008","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Total","3 703",""
"2008","Estonia","Total","Age reached during the year","65 years or over","Number","Total","110",""
"2008","Ireland","Total","Age reached during the year","Total","Number","Total","65 934",""
"2008","Ireland","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2008","Ireland","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2008","Ireland","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","Total","Number","Total","43 044","b"
"2008","Greece","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2008","Spain","Total","Age reached during the year","Total","Number","Total","288 432","b"
"2008","Spain","Total","Age reached during the year","Less than 15 years","Number","Total","33 466",""
"2008","Spain","Total","Age reached during the year","From 15 to 64 years","Number","Total","243 936",""
"2008","Spain","Total","Age reached during the year","65 years or over","Number","Total","11 032",""
"2008","France","Total","Age reached during the year","Total","Number","Total","239 796",""
"2008","France","Total","Age reached during the year","Less than 15 years","Number","Total","9 064",""
"2008","France","Total","Age reached during the year","From 15 to 64 years","Number","Total","210 755",""
"2008","France","Total","Age reached during the year","65 years or over","Number","Total","19 977",""
"2008","Croatia","Total","Age reached during the year","Total","Number","Total","10 638","b"
"2008","Croatia","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2008","Croatia","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2008","Croatia","Total","Age reached during the year","65 years or over","Number","Total",":",""
