"TIME","GEO","AGE","AGEDEF","UNIT","Value","Flag and Footnotes"
"1960","Andorra","Total","Age in completed years","Number",":",""
"1960","Albania","Total","Age in completed years","Number",":",""
"1960","Armenia","Total","Age in completed years","Number",":",""
"1960","Austria","Total","Age in completed years","Number","2.69258",""
"1960","Azerbaijan","Total","Age in completed years","Number",":",""
"1960","Belgium","Total","Age in completed years","Number","2.53813",""
"1960","Bulgaria","Total","Age in completed years","Number","2.31352",""
"1960","Belarus","Total","Age in completed years","Number",":",""
"1960","Switzerland","Total","Age in completed years","Number","2.44252",""
"1960","Cyprus","Total","Age in completed years","Number",":",""
"1960","Czechia","Total","Age in completed years","Number","2.09313",""
"1960","Germany including former GDR","Total","Age in completed years","Number",":",""
"1960","Denmark","Total","Age in completed years","Number","2.56975",""
"1960","Estonia","Total","Age in completed years","Number","1.98286",""
"1960","Greece","Total","Age in completed years","Number","2.23257",""
"1960","Spain","Total","Age in completed years","Number",":",""
"1960","Finland","Total","Age in completed years","Number","2.72230",""
"1960","France","Total","Age in completed years","Number",":",""
"1960","Georgia","Total","Age in completed years","Number",":",""
"1960","Croatia","Total","Age in completed years","Number",":",""
"1960","Hungary","Total","Age in completed years","Number","2.02241",""
"1960","Ireland","Total","Age in completed years","Number","3.78218",""
"1960","Iceland","Total","Age in completed years","Number",":",""
"1960","Italy","Total","Age in completed years","Number","2.37331",""
"1960","Liechtenstein","Total","Age in completed years","Number",":",""
"1960","Lithuania","Total","Age in completed years","Number",":",""
"1960","Luxembourg","Total","Age in completed years","Number","2.29055",""
"1960","Latvia","Total","Age in completed years","Number",":",""
"1960","Moldova","Total","Age in completed years","Number",":",""
"1960","Montenegro","Total","Age in completed years","Number",":",""
"1960","North Macedonia","Total","Age in completed years","Number",":",""
"1960","Malta","Total","Age in completed years","Number",":",""
"1960","Netherlands","Total","Age in completed years","Number","3.12124",""
"1960","Norway","Total","Age in completed years","Number",":",""
"1960","Poland","Total","Age in completed years","Number",":",""
"1960","Portugal","Total","Age in completed years","Number","3.16273",""
"1960","Romania","Total","Age in completed years","Number",":",""
"1960","Serbia","Total","Age in completed years","Number",":",""
"1960","Russia","Total","Age in completed years","Number",":",""
"1960","Sweden","Total","Age in completed years","Number",":",""
"1960","Slovenia","Total","Age in completed years","Number",":",""
"1960","Slovakia","Total","Age in completed years","Number","3.04208",""
"1960","San Marino","Total","Age in completed years","Number",":",""
"1960","Turkey","Total","Age in completed years","Number",":",""
"1960","Ukraine","Total","Age in completed years","Number",":",""
"1960","United Kingdom","Total","Age in completed years","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1961","Andorra","Total","Age in completed years","Number",":",""
"1961","Albania","Total","Age in completed years","Number",":",""
"1961","Armenia","Total","Age in completed years","Number",":",""
"1961","Austria","Total","Age in completed years","Number","2.78429",""
"1961","Azerbaijan","Total","Age in completed years","Number",":",""
"1961","Belgium","Total","Age in completed years","Number","2.63299",""
"1961","Bulgaria","Total","Age in completed years","Number","2.29131",""
"1961","Belarus","Total","Age in completed years","Number",":",""
"1961","Switzerland","Total","Age in completed years","Number","2.52073",""
"1961","Cyprus","Total","Age in completed years","Number",":",""
"1961","Czechia","Total","Age in completed years","Number","2.11278",""
"1961","Germany including former GDR","Total","Age in completed years","Number",":",""
"1961","Denmark","Total","Age in completed years","Number","2.55170",""
"1961","Estonia","Total","Age in completed years","Number","1.98316",""
"1961","Greece","Total","Age in completed years","Number","2.12710",""
"1961","Spain","Total","Age in completed years","Number",":",""
"1961","Finland","Total","Age in completed years","Number","2.71673",""
"1961","France","Total","Age in completed years","Number",":",""
"1961","Georgia","Total","Age in completed years","Number",":",""
"1961","Croatia","Total","Age in completed years","Number",":",""
"1961","Hungary","Total","Age in completed years","Number","1.93701",""
"1961","Ireland","Total","Age in completed years","Number","3.78307",""
"1961","Iceland","Total","Age in completed years","Number",":",""
"1961","Italy","Total","Age in completed years","Number","2.42113",""
"1961","Liechtenstein","Total","Age in completed years","Number",":",""
"1961","Lithuania","Total","Age in completed years","Number",":",""
"1961","Luxembourg","Total","Age in completed years","Number",":",""
"1961","Latvia","Total","Age in completed years","Number",":",""
"1961","Moldova","Total","Age in completed years","Number",":",""
"1961","Montenegro","Total","Age in completed years","Number",":",""
"1961","North Macedonia","Total","Age in completed years","Number",":",""
"1961","Malta","Total","Age in completed years","Number",":",""
"1961","Netherlands","Total","Age in completed years","Number","3.21658",""
"1961","Norway","Total","Age in completed years","Number","2.94370",""
"1961","Poland","Total","Age in completed years","Number",":",""
"1961","Portugal","Total","Age in completed years","Number","3.20530",""
"1961","Romania","Total","Age in completed years","Number",":",""
"1961","Serbia","Total","Age in completed years","Number",":",""
"1961","Russia","Total","Age in completed years","Number",":",""
"1961","Sweden","Total","Age in completed years","Number",":",""
"1961","Slovenia","Total","Age in completed years","Number",":",""
"1961","Slovakia","Total","Age in completed years","Number","2.96180",""
"1961","San Marino","Total","Age in completed years","Number",":",""
"1961","Turkey","Total","Age in completed years","Number",":",""
"1961","Ukraine","Total","Age in completed years","Number",":",""
"1961","United Kingdom","Total","Age in completed years","Number",":",""
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1962","Andorra","Total","Age in completed years","Number",":",""
"1962","Albania","Total","Age in completed years","Number",":",""
"1962","Armenia","Total","Age in completed years","Number",":",""
"1962","Austria","Total","Age in completed years","Number","2.79853",""
"1962","Azerbaijan","Total","Age in completed years","Number",":",""
"1962","Belgium","Total","Age in completed years","Number","2.59189",""
"1962","Bulgaria","Total","Age in completed years","Number","2.24137",""
"1962","Belarus","Total","Age in completed years","Number",":",""
"1962","Switzerland","Total","Age in completed years","Number","2.58157",""
"1962","Cyprus","Total","Age in completed years","Number",":",""
"1962","Czechia","Total","Age in completed years","Number","2.11970",""
"1962","Germany including former GDR","Total","Age in completed years","Number",":",""
"1962","Denmark","Total","Age in completed years","Number","2.54984",""
"1962","Estonia","Total","Age in completed years","Number","1.95475",""
"1962","Greece","Total","Age in completed years","Number","2.16362",""
"1962","Spain","Total","Age in completed years","Number",":",""
"1962","Finland","Total","Age in completed years","Number","2.68405",""
"1962","France","Total","Age in completed years","Number",":",""
"1962","Georgia","Total","Age in completed years","Number",":",""
"1962","Croatia","Total","Age in completed years","Number",":",""
"1962","Hungary","Total","Age in completed years","Number","1.79209",""
"1962","Ireland","Total","Age in completed years","Number","3.91829",""
"1962","Iceland","Total","Age in completed years","Number",":",""
"1962","Italy","Total","Age in completed years","Number","2.44062",""
"1962","Liechtenstein","Total","Age in completed years","Number",":",""
"1962","Lithuania","Total","Age in completed years","Number",":",""
"1962","Luxembourg","Total","Age in completed years","Number",":",""
"1962","Latvia","Total","Age in completed years","Number",":",""
"1962","Moldova","Total","Age in completed years","Number",":",""
"1962","Montenegro","Total","Age in completed years","Number",":",""
"1962","North Macedonia","Total","Age in completed years","Number",":",""
"1962","Malta","Total","Age in completed years","Number",":",""
"1962","Netherlands","Total","Age in completed years","Number","3.17516",""
"1962","Norway","Total","Age in completed years","Number","2.91274",""
"1962","Poland","Total","Age in completed years","Number",":",""
"1962","Portugal","Total","Age in completed years","Number","3.23406",""
"1962","Romania","Total","Age in completed years","Number",":",""
"1962","Serbia","Total","Age in completed years","Number",":",""
"1962","Russia","Total","Age in completed years","Number",":",""
"1962","Sweden","Total","Age in completed years","Number",":",""
