"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2008","Belgium","Total","Age reached during the year","Total","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Unknown","Number","Total",":",""
"2008","Belgium","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2008","Belgium","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Belgium","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Belgium","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Belgium","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Belgium","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2008","Belgium","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Belgium","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Belgium","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Belgium","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Belgium","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2008","Belgium","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Belgium","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Belgium","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Belgium","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Unknown","Number","Total",":",""
"2008","Bulgaria","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Bulgaria","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Bulgaria","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Bulgaria","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Bulgaria","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Bulgaria","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Bulgaria","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Bulgaria","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Bulgaria","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Bulgaria","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Bulgaria","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Bulgaria","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Czechia","Total","Age reached during the year","Total","Number","Total","108 267",""
