"TIME","GEO","PROJECTION","INDIC_DE","Value","Flag and Footnotes"
"2020","European Union - 27 countries (from 2020)","Baseline projections","Median age of population","43.9",""
"2020","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 0-14 years","15.1",""
"2020","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 15-64 years","64.3",""
"2020","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 65 years and more","20.6",""
"2020","Belgium","Baseline projections","Median age of population","41.8",""
"2020","Belgium","Baseline projections","Proportion of population aged 0-14 years","16.8",""
"2020","Belgium","Baseline projections","Proportion of population aged 15-64 years","64.0",""
"2020","Belgium","Baseline projections","Proportion of population aged 65 years and more","19.2",""
"2020","Bulgaria","Baseline projections","Median age of population","44.8",""
"2020","Bulgaria","Baseline projections","Proportion of population aged 0-14 years","14.4",""
"2020","Bulgaria","Baseline projections","Proportion of population aged 15-64 years","64.0",""
"2020","Bulgaria","Baseline projections","Proportion of population aged 65 years and more","21.6",""
"2020","Czechia","Baseline projections","Median age of population","42.9",""
"2020","Czechia","Baseline projections","Proportion of population aged 0-14 years","16.0",""
"2020","Czechia","Baseline projections","Proportion of population aged 15-64 years","64.0",""
"2020","Czechia","Baseline projections","Proportion of population aged 65 years and more","19.9",""
"2020","Denmark","Baseline projections","Median age of population","42.1",""
"2020","Denmark","Baseline projections","Proportion of population aged 0-14 years","16.4",""
"2020","Denmark","Baseline projections","Proportion of population aged 15-64 years","63.7",""
"2020","Denmark","Baseline projections","Proportion of population aged 65 years and more","19.9",""
"2020","Germany (until 1990 former territory of the FRG)","Baseline projections","Median age of population","45.9",""
"2020","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 0-14 years","13.7",""
"2020","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 15-64 years","64.5",""
"2020","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 65 years and more","21.8",""
"2020","Estonia","Baseline projections","Median age of population","42.3",""
"2020","Estonia","Baseline projections","Proportion of population aged 0-14 years","16.4",""
"2020","Estonia","Baseline projections","Proportion of population aged 15-64 years","63.5",""
"2020","Estonia","Baseline projections","Proportion of population aged 65 years and more","20.1",""
"2020","Ireland","Baseline projections","Median age of population","38.0",""
"2020","Ireland","Baseline projections","Proportion of population aged 0-14 years","20.3",""
"2020","Ireland","Baseline projections","Proportion of population aged 15-64 years","65.3",""
"2020","Ireland","Baseline projections","Proportion of population aged 65 years and more","14.4",""
"2020","Greece","Baseline projections","Median age of population","45.2",""
"2020","Greece","Baseline projections","Proportion of population aged 0-14 years","14.3",""
"2020","Greece","Baseline projections","Proportion of population aged 15-64 years","63.4",""
"2020","Greece","Baseline projections","Proportion of population aged 65 years and more","22.3",""
"2020","Spain","Baseline projections","Median age of population","44.3",""
"2020","Spain","Baseline projections","Proportion of population aged 0-14 years","14.5",""
"2020","Spain","Baseline projections","Proportion of population aged 15-64 years","65.8",""
"2020","Spain","Baseline projections","Proportion of population aged 65 years and more","19.6",""
"2020","France","Baseline projections","Median age of population","42.0",""
"2020","France","Baseline projections","Proportion of population aged 0-14 years","17.9",""
"2020","France","Baseline projections","Proportion of population aged 15-64 years","61.7",""
"2020","France","Baseline projections","Proportion of population aged 65 years and more","20.5",""
"2020","Croatia","Baseline projections","Median age of population","44.2",""
"2020","Croatia","Baseline projections","Proportion of population aged 0-14 years","14.3",""
"2020","Croatia","Baseline projections","Proportion of population aged 15-64 years","64.6",""
"2020","Croatia","Baseline projections","Proportion of population aged 65 years and more","21.1",""
"2020","Italy","Baseline projections","Median age of population","47.1",""
"2020","Italy","Baseline projections","Proportion of population aged 0-14 years","13.0",""
"2020","Italy","Baseline projections","Proportion of population aged 15-64 years","63.9",""
"2020","Italy","Baseline projections","Proportion of population aged 65 years and more","23.1",""
"2020","Cyprus","Baseline projections","Median age of population","37.8",""
"2020","Cyprus","Baseline projections","Proportion of population aged 0-14 years","16.0",""
"2020","Cyprus","Baseline projections","Proportion of population aged 15-64 years","67.6",""
"2020","Cyprus","Baseline projections","Proportion of population aged 65 years and more","16.4",""
"2020","Latvia","Baseline projections","Median age of population","43.8",""
"2020","Latvia","Baseline projections","Proportion of population aged 0-14 years","16.0",""
"2020","Latvia","Baseline projections","Proportion of population aged 15-64 years","63.5",""
"2020","Latvia","Baseline projections","Proportion of population aged 65 years and more","20.5",""
"2020","Lithuania","Baseline projections","Median age of population","44.2",""
"2020","Lithuania","Baseline projections","Proportion of population aged 0-14 years","15.2",""
"2020","Lithuania","Baseline projections","Proportion of population aged 15-64 years","64.9",""
"2020","Lithuania","Baseline projections","Proportion of population aged 65 years and more","19.9",""
"2020","Luxembourg","Baseline projections","Median age of population","39.6",""
