"TIME","GEO","PROJECTION","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2019","Austria","Baseline projections","Person","Total","Total","8 858 775",""
"2019","Belgium","Baseline projections","Person","Total","Total","11 455 519",""
"2019","Bulgaria","Baseline projections","Person","Total","Total","7 000 039",""
"2019","Switzerland","Baseline projections","Person","Total","Total","8 544 527",""
"2019","Cyprus","Baseline projections","Person","Total","Total","875 899",""
"2019","Czechia","Baseline projections","Person","Total","Total","10 649 800",""
"2019","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","83 019 213",""
"2019","Denmark","Baseline projections","Person","Total","Total","5 806 081",""
"2019","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","341 902 187",""
"2019","Estonia","Baseline projections","Person","Total","Total","1 324 820",""
"2019","Greece","Baseline projections","Person","Total","Total","10 724 599",""
"2019","Spain","Baseline projections","Person","Total","Total","46 937 060",""
"2019","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","446 824 564",""
"2019","Finland","Baseline projections","Person","Total","Total","5 517 919",""
"2019","France","Baseline projections","Person","Total","Total","67 012 883",""
"2019","Croatia","Baseline projections","Person","Total","Total","4 076 246",""
"2019","Hungary","Baseline projections","Person","Total","Total","9 772 756",""
"2019","Ireland","Baseline projections","Person","Total","Total","4 904 240",""
"2019","Iceland","Baseline projections","Person","Total","Total","356 991",""
"2019","Italy","Baseline projections","Person","Total","Total","60 359 546",""
"2019","Liechtenstein","Baseline projections","Person","Total","Total","38 378",""
"2019","Lithuania","Baseline projections","Person","Total","Total","2 794 184",""
"2019","Luxembourg","Baseline projections","Person","Total","Total","613 894",""
"2019","Latvia","Baseline projections","Person","Total","Total","1 919 968",""
"2019","Malta","Baseline projections","Person","Total","Total","493 559",""
"2019","Netherlands","Baseline projections","Person","Total","Total","17 282 163",""
"2019","Norway","Baseline projections","Person","Total","Total","5 328 212",""
"2019","Poland","Baseline projections","Person","Total","Total","37 972 812",""
"2019","Portugal","Baseline projections","Person","Total","Total","10 276 617",""
"2019","Romania","Baseline projections","Person","Total","Total","19 414 458",""
"2019","Sweden","Baseline projections","Person","Total","Total","10 230 185",""
"2019","Slovenia","Baseline projections","Person","Total","Total","2 080 908",""
"2019","Slovakia","Baseline projections","Person","Total","Total","5 450 421",""
"2020","Austria","Baseline projections","Person","Total","Total","8 904 262",""
"2020","Belgium","Baseline projections","Person","Total","Total","11 507 338",""
"2020","Bulgaria","Baseline projections","Person","Total","Total","6 949 549",""
"2020","Switzerland","Baseline projections","Person","Total","Total","8 580 270",""
"2020","Cyprus","Baseline projections","Person","Total","Total","887 331",""
"2020","Czechia","Baseline projections","Person","Total","Total","10 693 861",""
"2020","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","83 135 181",""
"2020","Denmark","Baseline projections","Person","Total","Total","5 811 651",""
