"TIME","GEO","C_BIRTH","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2000","Belgium","Total","Total","Total","Number","10 239 085",""
"2000","Belgium","Total","Total","Males","Number","5 006 014",""
"2000","Belgium","Total","Total","Females","Number","5 233 071",""
"2000","Belgium","Total","Less than 15 years","Total","Number",":",""
"2000","Belgium","Total","Less than 15 years","Males","Number",":",""
"2000","Belgium","Total","Less than 15 years","Females","Number",":",""
"2000","Belgium","Total","From 15 to 64 years","Total","Number",":",""
"2000","Belgium","Total","From 15 to 64 years","Males","Number",":",""
"2000","Belgium","Total","From 15 to 64 years","Females","Number",":",""
"2000","Belgium","Total","65 years or over","Total","Number",":",""
"2000","Belgium","Total","65 years or over","Males","Number",":",""
"2000","Belgium","Total","65 years or over","Females","Number",":",""
"2000","Belgium","Reporting country","Total","Total","Number",":",""
"2000","Belgium","Reporting country","Total","Males","Number",":",""
"2000","Belgium","Reporting country","Total","Females","Number",":",""
"2000","Belgium","Reporting country","Less than 15 years","Total","Number",":",""
"2000","Belgium","Reporting country","Less than 15 years","Males","Number",":",""
"2000","Belgium","Reporting country","Less than 15 years","Females","Number",":",""
"2000","Belgium","Reporting country","From 15 to 64 years","Total","Number",":",""
"2000","Belgium","Reporting country","From 15 to 64 years","Males","Number",":",""
"2000","Belgium","Reporting country","From 15 to 64 years","Females","Number",":",""
"2000","Belgium","Reporting country","65 years or over","Total","Number",":",""
"2000","Belgium","Reporting country","65 years or over","Males","Number",":",""
"2000","Belgium","Reporting country","65 years or over","Females","Number",":",""
"2000","Belgium","Foreign country","Total","Total","Number",":",""
"2000","Belgium","Foreign country","Total","Males","Number",":",""
"2000","Belgium","Foreign country","Total","Females","Number",":",""
"2000","Belgium","Foreign country","Less than 15 years","Total","Number",":",""
"2000","Belgium","Foreign country","Less than 15 years","Males","Number",":",""
"2000","Belgium","Foreign country","Less than 15 years","Females","Number",":",""
"2000","Belgium","Foreign country","From 15 to 64 years","Total","Number",":",""
"2000","Belgium","Foreign country","From 15 to 64 years","Males","Number",":",""
"2000","Belgium","Foreign country","From 15 to 64 years","Females","Number",":",""
"2000","Belgium","Foreign country","65 years or over","Total","Number",":",""
"2000","Belgium","Foreign country","65 years or over","Males","Number",":",""
"2000","Belgium","Foreign country","65 years or over","Females","Number",":",""
"2000","Bulgaria","Total","Total","Total","Number",":",""
"2000","Bulgaria","Total","Total","Males","Number",":",""
"2000","Bulgaria","Total","Total","Females","Number",":",""
"2000","Bulgaria","Total","Less than 15 years","Total","Number",":",""
"2000","Bulgaria","Total","Less than 15 years","Males","Number",":",""
"2000","Bulgaria","Total","Less than 15 years","Females","Number",":",""
"2000","Bulgaria","Total","From 15 to 64 years","Total","Number",":",""
"2000","Bulgaria","Total","From 15 to 64 years","Males","Number",":",""
"2000","Bulgaria","Total","From 15 to 64 years","Females","Number",":",""
"2000","Bulgaria","Total","65 years or over","Total","Number",":",""
"2000","Bulgaria","Total","65 years or over","Males","Number",":",""
"2000","Bulgaria","Total","65 years or over","Females","Number",":",""
"2000","Bulgaria","Reporting country","Total","Total","Number",":",""
"2000","Bulgaria","Reporting country","Total","Males","Number",":",""
"2000","Bulgaria","Reporting country","Total","Females","Number",":",""
