"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1960","Belgium","Total","Total","Number","9 128 824",""
"1960","Belgium","Less than 15 years","Total","Number","2 135 303",""
"1960","Belgium","65 years or over","Total","Number","1 091 374",""
"1960","Bulgaria","Total","Total","Number","7 829 246",""
"1960","Bulgaria","Less than 15 years","Total","Number","2 048 327",""
"1960","Bulgaria","65 years or over","Total","Number","582 802",""
"1960","Czechia","Total","Total","Number","9 637 840",""
"1960","Czechia","Less than 15 years","Total","Number","2 469 772",""
"1960","Czechia","65 years or over","Total","Number","913 614",""
"1960","Denmark","Total","Total","Number","4 565 455",""
"1960","Denmark","Less than 15 years","Total","Number","1 162 627",""
"1960","Denmark","65 years or over","Total","Number","479 473",""
"1960","Germany including former GDR","Total","Total","Number","72 542 990",""
"1960","Germany including former GDR","Less than 15 years","Total","Number","15 249 940",""
"1960","Germany including former GDR","65 years or over","Total","Number","8 308 238",""
"1960","Estonia","Total","Total","Number","1 206 362",""
"1960","Estonia","Less than 15 years","Total","Number","276 150",""
"1960","Estonia","65 years or over","Total","Number","126 950",""
"1960","Ireland","Total","Total","Number","2 835 500",""
"1960","Ireland","Less than 15 years","Total","Number","875 100",""
"1960","Ireland","65 years or over","Total","Number","315 300",""
"1960","Greece","Total","Total","Number","8 300 399",""
"1960","Greece","Less than 15 years","Total","Number","2 057 585",""
"1960","Greece","65 years or over","Total","Number","776 131",""
"1960","Spain","Total","Total","Number","30 327 000",""
"1960","Spain","Less than 15 years","Total","Number","8 322 237",""
"1960","Spain","65 years or over","Total","Number","2 486 799",""
"1960","France","Total","Total","Number",":",""
"1960","France","Less than 15 years","Total","Number",":",""
"1960","France","65 years or over","Total","Number",":",""
"1960","Croatia","Total","Total","Number","4 127 422",""
"1960","Croatia","Less than 15 years","Total","Number",":",""
"1960","Croatia","65 years or over","Total","Number",":",""
"1960","Italy","Total","Total","Number","50 025 500",""
"1960","Italy","Less than 15 years","Total","Number","12 366 700",""
"1960","Italy","65 years or over","Total","Number","4 631 100",""
"1960","Cyprus","Total","Total","Number","572 000",""
"1960","Cyprus","Less than 15 years","Total","Number",":",""
"1960","Cyprus","65 years or over","Total","Number",":",""
"1960","Latvia","Total","Total","Number","2 104 128",""
"1960","Latvia","Less than 15 years","Total","Number",":",""
"1960","Latvia","65 years or over","Total","Number",":",""
"1960","Lithuania","Total","Total","Number","2 755 600",""
"1960","Lithuania","Less than 15 years","Total","Number",":",""
"1960","Lithuania","65 years or over","Total","Number",":",""
"1960","Luxembourg","Total","Total","Number","313 050",""
"1960","Luxembourg","Less than 15 years","Total","Number","66 863",""
"1960","Luxembourg","65 years or over","Total","Number","33 760",""
"1960","Hungary","Total","Total","Number","9 961 044",""
"1960","Hungary","Less than 15 years","Total","Number","2 529 453",""
"1960","Hungary","65 years or over","Total","Number","890 261",""
"1960","Malta","Total","Total","Number","327 200",""
"1960","Malta","Less than 15 years","Total","Number",":",""
"1960","Malta","65 years or over","Total","Number",":",""
"1960","Netherlands","Total","Total","Number","11 417 254",""
"1960","Netherlands","Less than 15 years","Total","Number","3 423 845",""
"1960","Netherlands","65 years or over","Total","Number","1 018 822",""
"1960","Austria","Total","Total","Number","7 030 385",""
"1960","Austria","Less than 15 years","Total","Number","1 533 943",""
"1960","Austria","65 years or over","Total","Number","853 726",""
"1960","Poland","Total","Total","Number","29 479 900",""
"1960","Poland","Less than 15 years","Total","Number","9 798 300",""
"1960","Poland","65 years or over","Total","Number","1 705 600",""
"1960","Portugal","Total","Total","Number","8 826 040",""
"1960","Portugal","Less than 15 years","Total","Number","2 592 890",""
"1960","Portugal","65 years or over","Total","Number","689 420",""
"1960","Romania","Total","Total","Number","18 319 210",""
"1960","Romania","Less than 15 years","Total","Number",":",""
